legid,ACT,CP,GT,WYR
#222:39871,0,0,0,0
#222:39883,0,-2,2,0
#222:39902,1,9,8,0
#222:39913,1,11,9,0
#222:39914,1,9,10,0
#222:39933,0,2,2,2
#222:39936,0,0,2,0
#222:39938,0,0,1,0
#222:39954,0,0,2,0
#222:39959,0,0,-1,0
#222:39960,0,0,3,0
#222:39997,0,2,0,0
#222:40004,0,0,0,0
#222:40009,0,0,2,0
#222:40042,1,7,4,1
#222:40053,0,0,1,0
#222:40083,0,0,1,0
#222:40092,0,2,0,0
#222:40130,0,-2,0,0
#222:40149,1,1,3,0
#222:40150,1,4,1,0
#222:40153,1,0,0,0
#222:40159,1,0,0,0
#222:40160,1,0,0,0
#222:40163,1,0,0,0
#222:40169,1,0,0,0
#222:40171,1,0,0,0
#222:40193,1,3,3,-2
#222:40194,1,7,6,0
#222:40196,0,2,1,0
#222:40198,0,2,1,0
#222:40199,1,0,0,0
#222:40200,1,0,0,0
#222:40203,0,0,-2,0
#222:40207,0,1,0,0
#222:40211,0,1,1,0
#222:40213,0,0,1,0
#222:40214,0,0,1,0
#222:40217,0,1,0,0
#222:40222,1,4,-3,0
#222:40224,0,0,3,0
#222:40230,0,0,0,0
#222:40233,1,4,3,0
#222:40243,1,1,0,0
#222:40250,0,0,2,0
#222:40267,0,0,1,0
#222:40268,0,0,1,0
#222:40270,1,0,0,0
#222:40278,0,2,0,0
#222:40280,1,0,0,0
#222:40282,1,0,0,0
#222:40298,0,-2,-3,0
#222:40300,0,-2,3,0
#222:40301,0,-1,0,0
#222:40303,1,0,2,0
#222:40304,0,-1,1,0
#222:40318,1,5,4,2
#222:40334,1,1,0,0
#222:40335,1,1,0,0
#222:40338,1,0,0,0
#222:40339,0,0,1,0
#222:40347,0,0,-1,0
#222:40349,0,0,-1,0
#222:40355,1,1,0,0
#222:40357,0,0,-1,0
#222:40358,0,-1,0,0
#222:40361,0,0,1,0
#222:40370,0,-2,0,0
#222:40371,0,0,1,0
#222:40373,0,6,3,1
#222:40376,-1,0,2,0
#222:40377,-1,-5,9,-1
#222:40381,0,8,6,0
#222:40388,0,2,0,0
#222:40392,0,2,2,1
#222:40403,0,0,-1,0
#222:40410,0,-5,1,0
#222:40416,1,9,12,0
#222:40430,1,9,12,0
#222:40439,0,-8,-5,0
#222:40453,0,0,1,0
#222:40464,0,0,-1,0
#222:40470,0,1,-1,0
#222:40473,0,-1,1,0
#222:40474,0,-1,0,0
#222:40475,0,-2,0,0
#222:40479,1,0,-1,0
#222:40484,0,0,0,0
#222:40487,1,0,0,0
#222:40488,0,1,3,0
#222:40491,0,0,0,0
#222:40514,0,1,2,0
#222:40515,0,0,1,0
